Longname,Symbol,Sector
NVIDIA Corporation,NVDA,Technology
Apple Inc.,AAPL,Technology
Microsoft Corporation,MSFT,Technology
"Amazon.com, Inc.",AMZN,Consumer Cyclical
Alphabet Inc.,GOOGL,Communication Services
Alphabet Inc.,GOOG,Communication Services
"Meta Platforms, Inc.",META,Communication Services
"Tesla, Inc.",TSLA,Consumer Cyclical
Berkshire Hathaway Inc.,BRK-B,Financial Services
Broadcom Inc.,AVGO,Technology
Walmart Inc.,WMT,Consumer Defensive
JPMorgan Chase & Co.,JPM,Financial Services
Eli Lilly and Company,LLY,Healthcare
Visa Inc.,V,Financial Services
UnitedHealth Group Incorporated,UNH,Healthcare
Exxon Mobil Corporation,XOM,Energy
Oracle Corporation,ORCL,Technology
Mastercard Incorporated,MA,Financial Services
Costco Wholesale Corporation,COST,Consumer Defensive
"The Home Depot, Inc.",HD,Consumer Cyclical
The Procter & Gamble Company,PG,Consumer Defensive
"Netflix, Inc.",NFLX,Communication Services
Johnson & Johnson,JNJ,Healthcare
Bank of America Corporation,BAC,Financial Services
"Salesforce, Inc.",CRM,Technology
AbbVie Inc.,ABBV,Healthcare
Chevron Corporation,CVX,Energy
"T-Mobile US, Inc.",TMUS,Communication Services
The Coca-Cola Company,KO,Consumer Defensive
Wells Fargo & Company,WFC,Financial Services
"Merck & Co., Inc.",MRK,Healthcare
Blackstone Inc.,BX,Financial Services
"Cisco Systems, Inc.",CSCO,Technology
Adobe Inc.,ADBE,Technology
"Advanced Micro Devices, Inc.",AMD,Technology
Accenture plc,ACN,Technology
"PepsiCo, Inc.",PEP,Consumer Defensive
"ServiceNow, Inc.",NOW,Technology
Morgan Stanley,MS,Financial Services
Linde plc,LIN,Basic Materials
American Express Company,AXP,Financial Services
The Walt Disney Company,DIS,Communication Services
McDonald's Corporation,MCD,Consumer Cyclical
International Business Machines Corporation,IBM,Technology
Abbott Laboratories,ABT,Healthcare
Philip Morris International Inc.,PM,Consumer Defensive
Thermo Fisher Scientific Inc.,TMO,Healthcare
GE Aerospace,GE,Industrials
"Intuitive Surgical, Inc.",ISRG,Healthcare
Caterpillar Inc.,CAT,Industrials
"The Goldman Sachs Group, Inc.",GS,Financial Services
Verizon Communications Inc.,VZ,Communication Services
Texas Instruments Incorporated,TXN,Technology
Intuit Inc.,INTU,Technology
QUALCOMM Incorporated,QCOM,Technology
Booking Holdings Inc.,BKNG,Consumer Cyclical
Danaher Corporation,DHR,Healthcare
Comcast Corporation,CMCSA,Communication Services
AT&T Inc.,T,Communication Services
RTX Corporation,RTX,Industrials
S&P Global Inc.,SPGI,Financial Services
Amgen Inc.,AMGN,Healthcare
"NextEra Energy, Inc.",NEE,Utilities
The Progressive Corporation,PGR,Financial Services
"BlackRock, Inc.",BLK,Financial Services
"Uber Technologies, Inc.",UBER,Technology
"Lowe's Companies, Inc.",LOW,Consumer Cyclical
Eaton Corporation plc,ETN,Industrials
Honeywell International Inc.,HON,Industrials
The Charles Schwab Corporation,SCHW,Financial Services
Union Pacific Corporation,UNP,Industrials
Stryker Corporation,SYK,Healthcare
Palantir Technologies Inc.,PLTR,Technology
KKR & Co. Inc.,KKR,Financial Services
Pfizer Inc.,PFE,Healthcare
"Applied Materials, Inc.",AMAT,Technology
"The TJX Companies, Inc.",TJX,Consumer Cyclical
Boston Scientific Corporation,BSX,Healthcare
